"Expedition","Staline","StaNo","Event_No","Location","latitude","longitude","SampleDate","StartTime","EndTime","MinDepth","MaxDepth","Net","Size_Fr","Mesh","Tow","Fixative","Preservative","Cruise","cruise_site","site","year","month","season","Lon_deg_r","Lat_deg_r","year_site","year_season_site"
"CALCOFI 1010",93.3,26.7,NA,"32.950, -117.300",32.95,-117.3,"2010-10-28","11:16","11:21",0,41,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:93.3_26.7","93.3_26.7","2010",10,"Fall",-117.3,33,"2010:93.3_26.7","2010:Fall_93.3_26.7"
"CALCOFI 1010",93.4,26.4,NA,"32.950, -117.283",32.95,-117.283,"2010-10-28","12:14","12:16",0,11,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:93.4_26.4","93.4_26.4","2010",10,"Fall",-117.3,33,"2010:93.4_26.4","2010:Fall_93.4_26.4"
"CALCOFI 1010",91.7,26.4,NA,"33.250, -117.467",33.25,-117.467,"2010-10-28","14:55","14:57",0,12,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:91.7_26.4","91.7_26.4","2010",10,"Fall",-117.5,33.2,"2010:91.7_26.4","2010:Fall_91.7_26.4"
"CALCOFI 1010",93.3,30,NA,"32.850, -117.533",32.85,-117.533,"2010-10-28","22:42","23:04",0,210,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:93.3_30","93.3_30","2010",10,"Fall",-117.5,32.9,"2010:93.3_30","2010:Fall_93.3_30"
"CALCOFI 1010",93.3,35,NA,"32.683, -117.867",32.683,-117.867,"2010-10-29","02:34","02:57",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:93.3_35","93.3_35","2010",10,"Fall",-117.9,32.7,"2010:93.3_35","2010:Fall_93.3_35"
"CALCOFI 1010",93.3,40,NA,"32.517, -118.217",32.517,-118.217,"2010-10-29","06:54","07:16",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:93.3_40","93.3_40","2010",10,"Fall",-118.2,32.5,"2010:93.3_40","2010:Fall_93.3_40"
"CALCOFI 1010",90,60,NA,"32.417, -119.967",32.417,-119.967,"2010-11-02","19:34","19:56",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:90_60","90_60","2010",11,"Fall",-120,32.4,"2010:90_60","2010:Fall_90_60"
"CALCOFI 1010",90,37,NA,"33.183, -118.383",33.183,-118.383,"2010-11-03","11:39","12:02",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:90_37","90_37","2010",11,"Fall",-118.4,33.2,"2010:90_37","2010:Fall_90_37"
"CALCOFI 1010",90,35,NA,"33.250, -118.250",33.25,-118.25,"2010-11-03","14:28","14:51",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:90_35","90_35","2010",11,"Fall",-118.2,33.2,"2010:90_35","2010:Fall_90_35"
"CALCOFI 1010",90,28,NA,"33.483, -117.767",33.483,-117.767,"2010-11-03","23:30","23:44",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:90_28","90_28","2010",11,"Fall",-117.8,33.5,"2010:90_28","2010:Fall_90_28"
"CALCOFI 1010",88.5,30.1,NA,"33.667, -118.083",33.667,-118.083,"2010-11-04","02:12","02:14",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:88.5_30.1","88.5_30.1","2010",11,"Fall",-118.1,33.7,"2010:88.5_30.1","2010:Fall_88.5_30.1"
"CALCOFI 1010",86.8,32.5,NA,"33.883, -118.450",33.883,-118.45,"2010-11-04","05:51","05:52",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:86.8_32.5","86.8_32.5","2010",11,"Fall",-118.4,33.9,"2010:86.8_32.5","2010:Fall_86.8_32.5"
"CALCOFI 1010",86.7,33,NA,"33.900, -118.483",33.9,-118.483,"2010-11-04","07:24","07:28",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:86.7_33","86.7_33","2010",11,"Fall",-118.5,33.9,"2010:86.7_33","2010:Fall_86.7_33"
"CALCOFI 1010",86.7,40,NA,"33.667, -118.967",33.667,-118.967,"2010-11-04","14:58","15:20",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:86.7_40","86.7_40","2010",11,"Fall",-119,33.7,"2010:86.7_40","2010:Fall_86.7_40"
"CALCOFI 1010",86.7,45,NA,"33.483, -119.317",33.483,-119.317,"2010-11-04","19:17","19:40",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:86.7_45","86.7_45","2010",11,"Fall",-119.3,33.5,"2010:86.7_45","2010:Fall_86.7_45"
"CALCOFI 1010",83.3,55,NA,"33.750, -120.417",33.75,-120.417,"2010-11-08","12:40","13:03",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:83.3_55","83.3_55","2010",11,"Fall",-120.4,33.8,"2010:83.3_55","2010:Fall_83.3_55"
"CALCOFI 1010",85.4,35.8,NA,"34.017, -118.850",34.017,-118.85,"2010-11-09","00:41","00:43",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:85.4_35.8","85.4_35.8","2010",11,"Fall",-118.8,34,"2010:85.4_35.8","2010:Fall_85.4_35.8"
"CALCOFI 1010",83.3,39.4,NA,"34.250, -119.317",34.25,-119.317,"2010-11-09","04:35","04:37",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:83.3_39.4","83.3_39.4","2010",11,"Fall",-119.3,34.2,"2010:83.3_39.4","2010:Fall_83.3_39.4"
"CALCOFI 1010",83.3,40.6,NA,"34.233, -119.417",34.233,-119.417,"2010-11-09","06:05","06:08",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:83.3_40.6","83.3_40.6","2010",11,"Fall",-119.4,34.2,"2010:83.3_40.6","2010:Fall_83.3_40.6"
"CALCOFI 1010",81.7,43.5,NA,"34.417, -119.800",34.417,-119.8,"2010-11-09","11:33","11:35",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:81.7_43.5","81.7_43.5","2010",11,"Fall",-119.8,34.4,"2010:81.7_43.5","2010:Fall_81.7_43.5"
"CALCOFI 1010",81.8,46.9,NA,"34.283, -120.017",34.283,-120.017,"2010-11-09","14:48","15:10",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:81.8_46.9","81.8_46.9","2010",11,"Fall",-120,34.3,"2010:81.8_46.9","2010:Fall_81.8_46.9"
"CALCOFI 1010",80,60,NA,"34.150, -121.150",34.15,-121.15,"2010-11-10","03:12","03:35",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:80_60","80_60","2010",11,"Fall",-121.2,34.1,"2010:80_60","2010:Fall_80_60"
"CALCOFI 1010",80,80,NA,"33.483, -122.533",33.483,-122.533,"2010-11-10","17:45","18:06",NA,NA,"CALBOBL",NA,0.505,"OBLIQUE","Ethanol","Ethanol","201010","201010:80_80","80_80","2010",11,"Fall",-122.5,33.5,"2010:80_80","2010:Fall_80_80"
"CALCOFI 1711",93.3,26.7,NA,"32.957, -117.305",32.957,-117.305,"2017-11-09","12:10","12:14",0,30,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:93.3_26.7","93.3_26.7","2017",11,"Fall",-117.3,33,"2017:93.3_26.7","2017:Fall_93.3_26.7"
"CALCOFI 1711",93.4,26.4,NA,"32.948, -117.277",32.948,-117.277,"2017-11-09","13:07","13:09",0,7,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:93.4_26.4","93.4_26.4","2017",11,"Fall",-117.3,32.9,"2017:93.4_26.4","2017:Fall_93.4_26.4"
"CALCOFI 1711",91.7,26.4,NA,"33.240, -117.465",33.24,-117.465,"2017-11-09","15:41","15:44",0,16,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:91.7_26.4","91.7_26.4","2017",11,"Fall",-117.5,33.2,"2017:91.7_26.4","2017:Fall_91.7_26.4"
"CALCOFI 1711",93.3,30,NA,"32.845, -117.533",32.845,-117.533,"2017-11-09","22:52","23:14",0,214,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:93.3_30","93.3_30","2017",11,"Fall",-117.5,32.8,"2017:93.3_30","2017:Fall_93.3_30"
"CALCOFI 1711",93.3,35,NA,"32.680, -117.873",32.68,-117.873,"2017-11-10","02:55","03:19",0,185,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:93.3_35","93.3_35","2017",11,"Fall",-117.9,32.7,"2017:93.3_35","2017:Fall_93.3_35"
"CALCOFI 1711",93.3,40,NA,"32.513, -118.213",32.513,-118.213,"2017-11-10","07:07","07:30",0,207,"CALBOBL",NA,0.505,"OBLIQUE","ethanol","ethanol","201711","201711:93.3_40","93.3_40","2017",11,"Fall",-118.2,32.5,"2017:93.3_40","2017:Fall_93.3_40"
