"sample","Jar","station_id","Notes","Year","Lat_Dec","Lon_Dec","Month","season","Site","ID_Microscopy","Count_permsq2"
"X2000_4_80_60","0004_80_60","2000_80_60","low_normal",2000,34.148333,-121.156666,4,"Spring","Pt. Conception","Euphausia pacifica",1318.538
"X2000_4_86.7_50","0004_86.7_50","2000_86.7_50","low_normal",2000,33.323333,-119.666666,4,"Spring","San Nicolas Island","Euphausia pacifica",1594.614
"X2000_4_93.3_30","0004_93.3_30","2000_93.3_30","low_normal",2000,32.846666,-117.538333,4,"Spring","San Diego Inshore","Euphausia pacifica",550.434
"X2000_4_93.3_60","0004_93.3_60","2000_93.3_60","low_normal",2000,31.85,-119.568333,4,"Spring","San Diego Offshore","Euphausia pacifica",32.978
"X2001_4_80_60","0104_80_60","2001_80_60","full",2001,34.145,-121.161666,4,"Spring","Pt. Conception","Euphausia pacifica",6369.086
"X2001_4_86.7_50","0104_86.7_50","2001_86.7_50","normal",2001,33.32,-119.66,4,"Spring","San Nicolas Island","Euphausia pacifica",1403.64
"X2001_4_93.3_30","0104_93.3_30","2001_93.3_30","low_normal",2001,32.845,-117.531666,4,"Spring","San Diego Inshore","Euphausia pacifica",193.756
"X2001_4_93.3_60","0104_93.3_60","2001_93.3_60","low_normal",2001,31.855,-119.568333,4,"Spring","San Diego Offshore","Euphausia pacifica",27.716
"X2002_4_80_60","0204_80_60","2002_80_60","full",2002,34.146666,-121.155,4,"Spring","Pt. Conception","Euphausia pacifica",384.991
"X2002_4_86.7_50","0204_86.7_50","2002_86.7_50","full",2002,33.323333,-119.656666,4,"Spring","San Nicolas Island","Euphausia pacifica",642.072
"X2002_3_93.3_30","0204_93.3_30","2002_93.3_30","full",2002,32.848333,-117.531666,4,"Spring","San Diego Inshore","Euphausia pacifica",175.938
"X2002_3_93.3_60","0204_93.3_60","2002_93.3_60","full",2002,31.846666,-119.571666,4,"Spring","San Diego Offshore","Euphausia pacifica",2059.75
"X2003_4_93.3_30","0304_93.3_30","2003_93.3_30","normal",2003,32.846666,-117.531666,4,"Spring","San Diego Inshore","Euphausia pacifica",1318.358
"X2003_4_93.3_60","0304_93.3_60","2003_93.3_60","normal",2003,31.846666,-119.571666,4,"Spring","San Diego Offshore","Euphausia pacifica",290.335
