sample,Jar,Year,Month,station_id,Notes,Lat_Dec,Lon_Dec,season,Site,ID_Microscopy,Count_permsq2
2000_4_80_60,0004_80_60,2000,4,2000_80_60,low_normal,34.148333,-121.156666,Winter,Pt. Conception,Euphausia pacifica,104.392
2000_4_86.7_50,0004_86.7_50,2000,4,2000_86.7_50,low_normal,33.323333,-119.666666,Winter,San Nicholas Island,Euphausia pacifica,117.802
2000_4_93.3_30,0004_93.3_30,2000,4,2000_93.3_30,low_normal,32.846666,-117.538333,Winter,San Diego Inshore,Euphausia pacifica,63.971
2000_4_93.3_60,0004_93.3_60,2000,4,2000_93.3_60,low_normal,31.85,-119.568333,Winter,San Diego Offshore,Euphausia pacifica,67.445
2001_4_80_60,0104_80_60,2001,4,2001_80_60,full,34.145,-121.161666,Winter,Pt. Conception,Euphausia pacifica,80.721
2001_4_93.3_30,0104_93.3_30,2001,4,2001_93.3_30,low_normal,32.845,-117.531666,Winter,San Diego Inshore,Euphausia pacifica,72.888
2002_4_86.7_50,0204_86.7_50,2002,4,2002_86.7_50,full,33.323333,-119.656666,Winter,San Nicholas Island,Euphausia pacifica,31.842
2002_3_93.3_30,0204_93.3_30,2002,4,2002_93.3_30,full,32.848333,-117.531666,Winter,San Diego Inshore,Euphausia pacifica,206.913
2002_3_93.3_60,0204_93.3_60,2002,4,2002_93.3_60,full,31.846666,-119.571666,Winter,San Diego Offshore,Euphausia pacifica,73.792
2009_3_80_60,0903_80_60,2009,3,2009_80_60,full,34.15,-121.146666,Winter,Pt. Conception,Euphausia pacifica,305.528
2009_3_86.7_50,0903_86.7_50_J1,2009,3,2009_86.7_50,full,33.323333,-119.663333,Winter,San Nicholas Island,Euphausia pacifica,49.149
2009_3_86.7_50,0903_86.7_50_J2,2009,3,2009_86.7_50,full,33.323333,-119.663333,Winter,San Nicholas Island,Euphausia pacifica,49.149
2009_3_86.7_50,0903_86.7_50_J3,2009,3,2009_86.7_50,full,33.323333,-119.663333,Winter,San Nicholas Island,Euphausia pacifica,49.149
1996_4_80_60,9604_80_60,1996,4,1996_80_60,normal,34.151666,-121.148333,Winter,Pt. Conception,Euphausia pacifica,145.915
1996_4_86.7_50,9604_86.7_50,1996,4,1996_86.7_50,normal,33.325,-119.661666,Winter,San Nicholas Island,Euphausia pacifica,1113.035
1996_4_93.3_30,9604_93.3_30,1996,4,1996_93.3_30,normal,32.848333,-117.526666,Winter,San Diego Inshore,Euphausia pacifica,567.278
1996_4_93.3_60,9604_93.3_60,1996,4,1996_93.3_60,normal,31.848333,-119.571666,Winter,San Diego Offshore,Euphausia pacifica,4.808
1998_4_86.7_50,9804_86.7_50,1998,4,1998_86.7_50,crust,33.323333,-119.663333,Winter,San Nicholas Island,Euphausia pacifica,0
1998_4_93.3_30,9804_93.3_30,1998,4,1998_93.3_30,crust,32.848333,-117.528333,Winter,San Diego Inshore,Euphausia pacifica,0
1998_4_93.3_60,9804_93.3_60,1998,4,1998_93.3_60,low_normal,31.846666,-119.571666,Winter,San Diego Offshore,Euphausia pacifica,0
1999_4_80_60,9904_80_60,1999,4,1999_80_60,low_normal,34.153333,-121.146666,Winter,Pt. Conception,Euphausia pacifica,160.638
1999_4_86.7_50,9904_86.7_50,1999,4,1999_86.7_50,low_normal,33.325,-119.663333,Winter,San Nicholas Island,Euphausia pacifica,6.708
1999_4_93.3_30,9904_93.3_30,1999,4,1999_93.3_30,low,32.845,-117.53,Winter,San Diego Inshore,Euphausia pacifica,642.44
1999_4_93.3_60,9904_93.3_60,1999,4,1999_93.3_60,low_normal,31.85,-119.568333,Winter,San Diego Offshore,Euphausia pacifica,610.927
