sample,ST_ID,Date_extracted,Batch,Volume_mL,Notes,PCR_name,Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,Ac_Line,Rpt_Sta,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility,mean_100_T,mean_100_Salinity,mean_100_O2,mean_100_O2_sat,mean_100_silicate,mean_100_PO4,mean_100_NO3,mean_100_NO2,mean_100_NH3,mean_100_CHLa,mean_100_Phaeo,mean_100_DIC1,mean_100_TA1,mean_100_LightP,mean_100_pH1
2000_4_80_60,0004_80_60,2019-06-26,4,125,low_normal,Miu_1_a_13,29458,2000-04-07-C-31JD,200004,2.00004e+13,8000600,20-0004JD-MX-110-2121-08000600,080.0 060.0,2,ST,-38.75,4/19/00,36635,110,12/30/1899 21:21:00,34.148333,34,8.9,N,-121.156666,-121,9.4,W,80,80,60,60.1,2220,14,NA,RV DAVID STARR JORDAN,31JD,MX,54,532,NA,80   60,3101,4,92.3,NA,,,,,NA,32,3,8,32,12,1022.1,15.8,13.8,1,0,1,8,11.7609090909091,33.6361818181818,4.62090909090909,76.1818181818182,14.6272727272727,1.17727272727273,12.7272727272727,0.161818181818182,NA,0.898181818181818,0.576363636363636,NA,NA,NA,NA
2000_4_86.7_50,0004_86.7_50,2019-06-26,4,125,low_normal,Miu_1_a_14,29437,2000-04-07-C-31JD,200004,2.00004e+13,8670500,20-0004JD-MX-106-0223-08670500,086.7 050.0,2,ST,-71.17,4/15/00,36631,106,12/30/1899 02:23:00,33.323333,33,19.4,N,-119.666666,-119,40,W,86.7,86.7,50,50,84,NA,NA,RV DAVID STARR JORDAN,31JD,MX,33,322,NA,87   50,3101,4,67.8,NA,,,,,NA,29,2,9,28,14,1014.9,14.5,12.3,1,6,3,7,10.7257142857143,33.7708571428571,3.94142857142857,63.2285714285714,19.5142857142857,1.53142857142857,18.1857142857143,0.19,NA,0.854285714285714,0.69,NA,NA,NA,NA
2000_4_93.3_30,0004_93.3_30,2019-06-26,4,125,low_normal,Miu_1_a_15,29407,2000-04-07-C-31JD,200004,2.00004e+13,9330300,20-0004JD-MX-099-0341-09330300,093.3 030.0,2,ST,-15.11,4/8/00,36624,99,12/30/1899 03:41:00,32.846666,32,50.8,N,-117.538333,-117,32.3,W,93.3,93.3,30,30.1,859,NA,NA,RV DAVID STARR JORDAN,31JD,MX,3,22,NA,93   30,3101,4,29.8,NA,,,,,NA,NA,NA,NA,30,9,1018.7,15.4,13.5,NA,NA,NA,NA,12.54,33.6359,4.71,78.82,11.64,1.008,10.71,0.154,NA,0.313,0.165,NA,NA,NA,NA
2000_4_93.3_60,0004_93.3_60,2019-06-26,4,125,low_normal,Miu_1_a_16,29413,2000-04-07-C-31JD,200004,2.00004e+13,9330600,20-0004JD-MX-100-0612-09330600,093.3 060.0,2,ST,-134.08,4/9/00,36625,100,12/30/1899 06:12:00,31.85,31,51,N,-119.568333,-119,34.1,W,93.3,93.3,60,59.9,1870,NA,NA,RV DAVID STARR JORDAN,31JD,MX,9,82,NA,93   60,3101,4,39.2,NA,,,,,NA,NA,NA,NA,32,16,1019,14.1,12.4,NA,NA,NA,NA,14.1372727272727,33.4030909090909,5.88,100.663636363636,2.87272727272727,0.409090909090909,1.23636363636364,0.0272727272727273,NA,0.340909090909091,0.146363636363636,NA,NA,NA,NA
2001_4_80_60,0104_80_60,2019-06-26,5,75,full,Miu_1_a_17,29722,2001-04-05-C-31JD,200104,2.00104e+13,8000600,20-0104JD-MX-110-0933-08000600,080.0 060.0,2,ST,-39.06,4/20/01,37000,110,12/30/1899 09:33:00,34.145,34,8.7,N,-121.161666,-121,9.7,W,80,80,60,60.2,2265,NA,NA,RV DAVID STARR JORDAN,31JD,MX,54,532,NA,80   60,3101,104,76.3,NA,,,,,NA,NA,NA,NA,30,10,1016.8,12.9,11.8,NA,NA,NA,NA,11.4983333333333,33.35275,5.65666666666667,91.825,7.86666666666667,0.793333333333333,7.1,0.1,NA,0.706666666666667,0.261666666666667,NA,NA,NA,NA
2001_4_86.7_50,0104_86.7_50,2019-06-26,5,125,normal,Miu_1_a_18,29701,2001-04-05-C-31JD,200104,2.00104e+13,8670500,20-0104JD-MX-104-1240-08670500,086.7 050.0,2,ST,-70.98,4/14/01,36994,104,12/30/1899 12:40:00,33.32,33,19.2,N,-119.66,-119,39.6,W,86.7,86.7,50,50,79,NA,NA,RV DAVID STARR JORDAN,31JD,MX,33,322,NA,87   50,3101,104,204.2,NA,,,,,NA,NA,NA,NA,31,25,1016.3,12.1,10.4,NA,NA,NA,NA,11.2733333333333,33.6753333333333,5.03222222222222,81.4888888888889,12.9,1.09888888888889,11.5222222222222,0.133333333333333,NA,3.08666666666667,0.973333333333333,NA,NA,NA,NA
2001_4_93.3_30,0104_93.3_30,2019-06-26,4,125,low_normal,Miu_1_a_19,29671,2001-04-05-C-31JD,200104,2.00104e+13,9330300,20-0104JD-MX-097-0136-09330300,093.3 030.0,2,ST,-14.85,4/7/01,36987,97,12/30/1899 01:36:00,32.845,32,50.7,N,-117.531666,-117,31.9,W,93.3,93.3,30,30,859,NA,NA,RV DAVID STARR JORDAN,31JD,MX,3,22,NA,93   30,3101,104,29.1,NA,,,,,NA,25,3,7,25,7,1017.8,13.9,10.8,1,6,6,7,12.2330769230769,33.6070769230769,4.68692307692308,77.8384615384615,11.8230769230769,0.989230769230769,10.4846153846154,0.0515384615384615,NA,0.318461538461538,0.177692307692308,NA,NA,NA,NA
2001_4_93.3_60,0104_93.3_60,2019-06-26,4,125,low_normal,Miu_1_a_20,29677,2001-04-05-C-31JD,200104,2.00104e+13,9330600,20-0104JD-MX-098-0345-09330600,093.3 060.0,2,ST,-133.93,4/8/01,36988,98,12/30/1899 03:45:00,31.855,31,51.3,N,-119.568333,-119,34.1,W,93.3,93.3,60,59.9,2011,NA,NA,RV DAVID STARR JORDAN,31JD,MX,9,82,NA,93   60,3101,104,26.1,NA,,,,,NA,NA,NA,NA,32,15,1018.8,12,9.5,NA,NA,NA,NA,13.1575,33.3413333333333,5.81333333333333,97.5,4.775,0.474166666666667,2.21666666666667,0.0733333333333333,NA,0.240833333333333,0.0883333333333333,NA,NA,NA,NA
2002_4_80_60,0204_80_60,2019-06-26,5,75,full,Miu_1_a_21,29986,2002-03-28-C-31JD,200204,2.00204e+13,8000600,20-0204JD-MX-099-0949-08000600,080.0 060.0,2,ST,-38.73,4/9/02,37355,99,12/30/1899 09:49:00,34.146666,34,8.8,N,-121.155,-121,9.3,W,80,80,60,60.1,2210,NA,NA,RV DAVID STARR JORDAN,31JD,MX,54,532,NA,80   60,3101,204,58.5,NA,,,,,NA,NA,NA,NA,33,4,1020.1,13.4,11.8,NA,NA,NA,NA,11.167,33.5881,4.784,77.41,13.39,1.195,12.88,0.154,NA,0.39,0.244,NA,NA,NA,NA
2002_4_86.7_50,0204_86.7_50,2019-06-26,5,125,full,Miu_1_a_22,29965,2002-03-28-C-31JD,200204,2.00204e+13,8670500,20-0204JD-MX-094-1238-08670500,086.7 050.0,2,ST,-70.74,4/4/02,37350,94,12/30/1899 12:38:00,33.323333,33,19.4,N,-119.656666,-119,39.4,W,86.7,86.7,50,49.9,77,NA,NA,RV DAVID STARR JORDAN,31JD,MX,33,322,NA,87   50,3101,204,40,NA,,,,,NA,NA,NA,NA,0,0,1017.4,13.2,10.9,NA,NA,NA,NA,11.78875,33.55025,5.3475,87.3,8.4,0.94625,8.2375,0.1925,NA,0.53875,0.5675,NA,NA,NA,NA
