sum.taxonomy	fishcard_12S_all_Miu.1.a.01.S1	fishcard_12S_all_Miu.1.a.02.S2	fishcard_12S_all_Miu.1.a.03.S3	fishcard_12S_all_Miu.1.a.04.S4	fishcard_12S_all_Miu.1.a.05.S5	fishcard_12S_all_Miu.1.a.06.S6	fishcard_12S_all_Miu.1.a.07.S7	fishcard_12S_all_Miu.1.a.08.S8	fishcard_12S_all_Miu.1.a.09.S9	fishcard_12S_all_Miu.1.a.10.S10	fishcard_12S_all_Miu.1.a.11.S11	fishcard_12S_all_Miu.1.a.12.S12	fishcard_12S_all_Miu.1.a.13.S13	fishcard_12S_all_Miu.1.a.14.S14	fishcard_12S_all_Miu.1.a.15.S15	fishcard_12S_all_Miu.1.a.16.S16	fishcard_12S_all_Miu.1.a.17.S17	fishcard_12S_all_Miu.1.a.18.S18	fishcard_12S_all_Miu.1.a.19.S19	fishcard_12S_all_Miu.1.a.20.S20	fishcard_12S_all_Miu.1.a.21.S21	fishcard_12S_all_Miu.1.a.22.S22	fishcard_12S_all_Miu.1.a.23.S23	fishcard_12S_all_Miu.1.a.24.S24	fishcard_12S_all_Miu.1.a.25.S25	fishcard_12S_all_Miu.1.a.26.S26	fishcard_12S_all_Miu.1.a.27.S27	fishcard_12S_all_Miu.1.a.28.S28	fishcard_12S_all_Miu.1.a.29.S29	fishcard_12S_all_Miu.1.a.30.S30	fishcard_12S_all_Miu.1.a.31.S31	fishcard_12S_all_Miu.1.a.32.S32	fishcard_12S_all_Miu.1.a.33.S33	fishcard_12S_all_Miu.1.a.34.S34	fishcard_12S_all_Miu.1.a.35.S35	fishcard_12S_all_Miu.1.a.36.S36	fishcard_12S_all_Miu.1.a.37.S37	fishcard_12S_all_Miu.1.a.38.S38	fishcard_12S_all_Miu.1.a.39.S39	fishcard_12S_all_Miu.1.a.40.S40	fishcard_12S_all_Miu.1.a.41.S41	fishcard_12S_all_Miu.1.a.42.S42	fishcard_12S_all_Miu.1.a.43.S43	fishcard_12S_all_Miu.1.a.44.S44	fishcard_12S_all_Miu.1.a.45.S45	fishcard_12S_all_Miu.1.a.46.S46	fishcard_12S_all_Miu.1.a.47.S47	fishcard_12S_all_Miu.1.b.01.S49	fishcard_12S_all_Miu.1.b.02.S50	fishcard_12S_all_Miu.1.b.03.S51	fishcard_12S_all_Miu.1.b.04.S52	fishcard_12S_all_Miu.1.b.05.S53	fishcard_12S_all_Miu.1.b.06.S54	fishcard_12S_all_Miu.1.b.07.S55	fishcard_12S_all_Miu.1.b.08.S56	fishcard_12S_all_Miu.1.b.09.S57	fishcard_12S_all_Miu.1.b.10.S58	fishcard_12S_all_Miu.1.b.11.S59	fishcard_12S_all_Miu.1.b.12.S60	fishcard_12S_all_Miu.1.b.13.S61	fishcard_12S_all_Miu.1.b.14.S62	fishcard_12S_all_Miu.1.b.15.S63	fishcard_12S_all_Miu.1.b.16.S64	fishcard_12S_all_Miu.1.b.17.S65	fishcard_12S_all_Miu.1.b.18.S66	fishcard_12S_all_Miu.1.b.19.S67	fishcard_12S_all_Miu.1.b.20.S68	fishcard_12S_all_Miu.1.b.21.S69	fishcard_12S_all_Miu.1.b.22.S70	fishcard_12S_all_Miu.1.b.23.S71	fishcard_12S_all_Miu.1.b.24.S72	fishcard_12S_all_Miu.1.b.25.S73	fishcard_12S_all_Miu.1.b.26.S74	fishcard_12S_all_Miu.1.b.27.S75	fishcard_12S_all_Miu.1.b.28.S76	fishcard_12S_all_Miu.1.b.29.S77	fishcard_12S_all_Miu.1.b.30.S78	fishcard_12S_all_Miu.1.b.31.S79	fishcard_12S_all_Miu.1.b.32.S80	fishcard_12S_all_Miu.1.b.33.S81	fishcard_12S_all_Miu.1.b.34.S82	fishcard_12S_all_Miu.1.b.35.S83	fishcard_12S_all_Miu.1.b.36.S84	fishcard_12S_all_Miu.1.b.37.S85	fishcard_12S_all_Miu.1.b.38.S86	fishcard_12S_all_Miu.1.b.39.S87	fishcard_12S_all_Miu.1.b.40.S88	fishcard_12S_all_Miu.1.b.41.S89	fishcard_12S_all_Miu.1.b.42.S90	fishcard_12S_all_Miu.1.b.43.S91	fishcard_12S_all_Miu.1.b.44.S92	fishcard_12S_all_Miu.1.b.45.S93	fishcard_12S_all_Miu.1.b.46.S94	fishcard_12S_all_Miu.1.b.47.S95	fishcard_12S_all_Miu.1.b.48.S96	fishcard_12S_all_Miu.1.b.49.S97	fishcard_12S_all_Miu.1.b.50.S98	fishcard_12S_all_Miu.1.b.51.S99	fishcard_12S_all_Miu.2.a.01.S101	fishcard_12S_all_Miu.2.a.02.S102	fishcard_12S_all_Miu.2.a.03.S103	fishcard_12S_all_Miu.2.a.04.S104	fishcard_12S_all_Miu.2.a.05.S105	fishcard_12S_all_Miu.2.a.06.S106	fishcard_12S_all_Miu.2.a.07.S107	fishcard_12S_all_Miu.2.a.08.S108	fishcard_12S_all_Miu.2.a.09.S109	fishcard_12S_all_Miu.2.a.10.S110	fishcard_12S_all_Miu.2.a.11.S111	fishcard_12S_all_Miu.2.a.12.S112	fishcard_12S_all_Miu.2.a.13.S113	fishcard_12S_all_Miu.2.a.14.S114	fishcard_12S_all_Miu.2.a.15.S115	fishcard_12S_all_Miu.2.a.16.S116	fishcard_12S_all_Miu.2.a.17.S117	fishcard_12S_all_Miu.2.a.18.S118	fishcard_12S_all_Miu.2.a.19.S119	fishcard_12S_all_Miu.2.a.20.S120	fishcard_12S_all_Miu.2.a.21.S121	fishcard_12S_all_Miu.2.a.22.S122	fishcard_12S_all_Miu.2.a.23.S123	fishcard_12S_all_Miu.2.a.24.S124	fishcard_12S_all_Miu.2.a.25.S125	fishcard_12S_all_Miu.2.a.26.S126	fishcard_12S_all_Miu.2.a.27.S127	fishcard_12S_all_Miu.2.a.28.S128	fishcard_12S_all_Miu.2.a.29.S129	fishcard_12S_all_Miu.2.a.30.S130	fishcard_12S_all_Miu.2.a.31.S131	fishcard_12S_all_Miu.2.a.32.S132	fishcard_12S_all_Miu.2.a.33.S133	fishcard_12S_all_Miu.2.a.34.S134	fishcard_12S_all_Miu.2.a.35.S135	fishcard_12S_all_Miu.2.a.36.S136	fishcard_12S_all_Miu.2.a.37.S137	fishcard_12S_all_Miu.2.a.38.S138	fishcard_12S_all_Miu.2.a.39.S139	fishcard_12S_all_Miu.2.a.40.S140	fishcard_12S_all_Miu.2.a.41.S141	fishcard_12S_all_Miu.2.a.42.S142	fishcard_12S_all_Miu.2.a.43.S143	fishcard_12S_all_Miu.2.a.44.S144	fishcard_12S_all_Miu.2.a.45.S145	fishcard_12S_all_Miu.2.a.46.S146	fishcard_12S_all_Miu.2.a.47.S147	fishcard_12S_all_Miu.2.b.01.S149	fishcard_12S_all_Miu.2.b.02.S150	fishcard_12S_all_Miu.2.b.03.S151	fishcard_12S_all_Miu.2.b.04.S152	fishcard_12S_all_Miu.2.b.05.S153	fishcard_12S_all_Miu.2.b.06.S154	fishcard_12S_all_Miu.2.b.07.S155	fishcard_12S_all_Miu.2.b.08.S156	fishcard_12S_all_Miu.2.b.09.S157	fishcard_12S_all_Miu.2.b.10.S158	fishcard_12S_all_Miu.2.b.11.S159	fishcard_12S_all_Miu.2.b.12.S160	fishcard_12S_all_Miu.2.b.13.S161	fishcard_12S_all_Miu.2.b.14.S162	fishcard_12S_all_Miu.2.b.15.S163	fishcard_12S_all_Miu.2.b.16.S164	fishcard_12S_all_Miu.2.b.17.S165	fishcard_12S_all_Miu.2.b.18.S166	fishcard_12S_all_Miu.2.b.19.S167	fishcard_12S_all_Miu.2.b.20.S168	fishcard_12S_all_Miu.2.b.21.S169	fishcard_12S_all_Miu.2.b.22.S170	fishcard_12S_all_Miu.2.b.23.S171	fishcard_12S_all_Miu.2.b.24.S172	fishcard_12S_all_Miu.2.b.25.S173	fishcard_12S_all_Miu.2.b.26.S174	fishcard_12S_all_Miu.2.b.27.S175	fishcard_12S_all_Miu.2.b.28.S176	fishcard_12S_all_Miu.2.b.29.S177	fishcard_12S_all_Miu.2.b.30.S178	fishcard_12S_all_Miu.2.b.31.S179	fishcard_12S_all_Miu.2.b.32.S180	fishcard_12S_all_Miu.2.b.33.S181	fishcard_12S_all_Miu.2.b.34.S182	fishcard_12S_all_Miu.2.b.35.S183	fishcard_12S_all_Miu.2.b.36.S184	fishcard_12S_all_Miu.2.b.37.S185	fishcard_12S_all_Miu.2.b.38.S186	fishcard_12S_all_Miu.2.b.39.S187	fishcard_12S_all_Miu.2.b.40.S188	fishcard_12S_all_Miu.2.b.41.S189	fishcard_12S_all_Miu.2.b.42.S190	fishcard_12S_all_Miu.2.b.43.S191	fishcard_12S_all_Miu.2.b.44.S192	fishcard_12S_all_Miu.2.b.45.S193	fishcard_12S_all_Miu.2.b.46.S194	fishcard_12S_all_Miu.2.b.47.S195	fishcard_12S_all_Miu.2.b.48.S196	fishcard_12S_all_Miu.2.b.50.S198	fishcard_12S_all_Miu.2.b.51.S199	fishcard_12S_all_Miu.3.a.01.S201	fishcard_12S_all_Miu.3.a.02.S202	fishcard_12S_all_Miu.3.a.03.S203	fishcard_12S_all_Miu.3.a.04.S204	fishcard_12S_all_Miu.3.a.05.S205	fishcard_12S_all_Miu.3.a.06.S206	fishcard_12S_all_Miu.3.a.07.S207	fishcard_12S_all_Miu.3.a.08.S208	fishcard_12S_all_Miu.3.a.09.S209	fishcard_12S_all_Miu.3.a.10.S210	fishcard_12S_all_Miu.3.a.11.S211	fishcard_12S_all_Miu.3.a.12.S212	fishcard_12S_all_Miu.3.a.13.S213	fishcard_12S_all_Miu.3.a.14.S214	fishcard_12S_all_Miu.3.a.15.S215	fishcard_12S_all_Miu.3.a.16.S216	fishcard_12S_all_Miu.3.a.17.S217	fishcard_12S_all_Miu.3.a.18.S218	fishcard_12S_all_Miu.3.a.19.S219	fishcard_12S_all_Miu.3.a.20.S220	fishcard_12S_all_Miu.3.a.21.S221	fishcard_12S_all_Miu.3.a.22.S222	fishcard_12S_all_Miu.3.a.23.S223	fishcard_12S_all_Miu.3.a.24.S224	fishcard_12S_all_Miu.3.a.25.S225	fishcard_12S_all_Miu.3.a.26.S226	fishcard_12S_all_Miu.3.a.27.S227	fishcard_12S_all_Miu.3.a.28.S228	fishcard_12S_all_Miu.3.a.29.S229	fishcard_12S_all_Miu.3.a.30.S230	fishcard_12S_all_Miu.3.a.31.S231	fishcard_12S_all_Miu.3.a.32.S232	fishcard_12S_all_Miu.3.a.33.S233	fishcard_12S_all_Miu.3.a.34.S234	fishcard_12S_all_Miu.3.a.35.S235	fishcard_12S_all_Miu.3.a.36.S236	fishcard_12S_all_Miu.3.a.37.S237	fishcard_12S_all_Miu.3.a.38.S238	fishcard_12S_all_Miu.3.a.39.S239	fishcard_12S_all_Miu.3.a.40.S240	fishcard_12S_all_Miu.3.a.41.S241	fishcard_12S_all_Miu.3.a.42.S242	fishcard_12S_all_Miu.3.a.43.S243	fishcard_12S_all_Miu.3.a.44.S244	fishcard_12S_all_Miu.3.a.45.S245	fishcard_12S_all_Miu.3.a.46.S246	fishcard_12S_all_Miu.3.a.47.S247	fishcard_12S_all_Miu.3.b.01.S249	fishcard_12S_all_Miu.3.b.02.S250	fishcard_12S_all_Miu.3.b.03.S251	fishcard_12S_all_Miu.3.b.04.S252	fishcard_12S_all_Miu.3.b.05.S253	fishcard_12S_all_Miu.3.b.06.S254	fishcard_12S_all_Miu.3.b.07.S255	fishcard_12S_all_Miu.3.b.08.S256	fishcard_12S_all_Miu.3.b.09.S257	fishcard_12S_all_Miu.3.b.10.S258	fishcard_12S_all_Miu.3.b.11.S259	fishcard_12S_all_Miu.3.b.12.S260	fishcard_12S_all_Miu.3.b.13.S261	fishcard_12S_all_Miu.3.b.14.S262	fishcard_12S_all_Miu.3.b.15.S263	fishcard_12S_all_Miu.3.b.16.S264	fishcard_12S_all_Miu.3.b.17.S265	fishcard_12S_all_Miu.3.b.18.S266	fishcard_12S_all_Miu.3.b.19.S267	fishcard_12S_all_Miu.3.b.20.S268	fishcard_12S_all_Miu.3.b.21.S269	fishcard_12S_all_Miu.3.b.22.S270	fishcard_12S_all_Miu.3.b.23.S271	fishcard_12S_all_Miu.3.b.24.S272	fishcard_12S_all_Miu.3.b.25.S273	fishcard_12S_all_Miu.3.b.26.S274	fishcard_12S_all_Miu.3.b.27.S275	fishcard_12S_all_Miu.3.b.28.S276	fishcard_12S_all_Miu.3.b.29.S277	fishcard_12S_all_Miu.3.b.30.S278	fishcard_12S_all_Miu.3.b.31.S279	fishcard_12S_all_Miu.3.b.32.S280	fishcard_12S_all_Miu.3.b.33.S281	fishcard_12S_all_Miu.3.b.34.S282	fishcard_12S_all_Miu.3.b.35.S283	fishcard_12S_all_Miu.3.b.36.S284	fishcard_12S_all_Miu.3.b.37.S285	fishcard_12S_all_Miu.3.b.38.S286	fishcard_12S_all_Miu.3.b.39.S287	fishcard_12S_all_Miu.3.b.40.S288	fishcard_12S_all_Miu.3.b.41.S289	fishcard_12S_all_Miu.3.b.42.S290	fishcard_12S_all_Miu.3.b.43.S291	fishcard_12S_all_Miu.3.b.44.S292	fishcard_12S_all_Miu.3.b.45.S293	fishcard_12S_all_Miu.3.b.46.S294	fishcard_12S_all_Miu.3.b.47.S295	fishcard_12S_all_Miu.3.b.48.S296	fishcard_12S_all_Miu.3.b.50.S298	fishcard_12S_all_Miu.3.b.51.S299	fishcard_12S_all_Miu.3.b.52.S300	fishcard_12S_all_Miu.1.a.48.S48	fishcard_12S_all_Miu.2.a.48.S148	fishcard_12S_all_Miu.2.b.49.S197	fishcard_12S_all_Miu.2.b.52.S200	fishcard_12S_all_Miu.3.b.49.S297
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Luvaridae;Luvarus;Luvarus imperialis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Alepocephalus;Alepocephalus tenebrosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Alepocephalidae;Bajacalifornia;Bajacalifornia burragei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Alepocephaliformes;Platytroctidae;Maulisia;Maulisia mauli	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagoides;Bathylagoides wesethi	7888	0	0	2214	3652	0	0	0	0	0	0	10527	0	0	18792	8971	1	0	0	450	0	562	0	34	0	2	1	207	1	0	0	43	0	0	0	2959	2	0	36	89	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	28336	0	0	0	5066	0	1	2	128	0	0	2	0	1	0	1	50	2	0	0	9776	0	0	1022	44233	0	0	1	2	0	1	0	315	0	1847	0	0	0	0	0	0	11133	0	0	2369	4946	0	1	0	0	0	0	9262	0	0	53048	24899	0	1	0	288	2	1927	1	0	0	0	0	98	1	0	0	2	17	0	1	5955	0	0	0	52	0	0	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	39360	0	0	3	13004	0	0	3	551	0	0	0	0	1	0	0	141	0	0	1	5432	0	0	1190	44312	0	0	1	2	0	0	0	348	576	0	0	0	0	0	0	16791	0	0	4762	2350	0	0	1	0	0	0	887	0	1	10125	8538	0	0	1	154	0	649	0	1	0	1	0	93	0	0	0	0	0	15	0	144	0	0	0	26	0	1	0	0	0	0	0	0	0	236	0	0	0	1	0	1	16	39314	2	0	3	27242	2	0	2	125	1	0	2	1	5	1	1	230	2	0	0	7679	0	0	1686	64997	0	1	1	1	0	0	0	563	0	1831	0	0	24	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Bathylagus;Bathylagus pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5390	0	0	0	0	0	0	0	0	0	1859	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1571	0	0	0	0	0	0	0	442	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	3	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	5196	0	1	0	0	0	0	0	0	0	2537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2292	0	0	0	0	0	0	0	328	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3451	0	0	0	0	0	0	0	0	0	3119	0	0	0	0	491	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	5457	0	0	0	0	0	0	0	435	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Leuroglossus;Leuroglossus stilbius	1700	661	2019	5677	24224	0	0	8417	8530	3230	1401	3361	0	9268	3189	1602	12510	6384	17112	3740	5871	2130	12138	6244	219	3043	7943	3584	42520	1751	44679	8144	4533	0	4214	0	9409	3612	6338	84	22293	15916	1357	30771	235	4758	0	10350	14373	41784	14111	5928	6297	9660	217	2482	860	395	15185	1832	19710	29586	765	99	70257	34988	7837	2189	13052	880	47715	14141	24796	0	3189	1	69233	3	0	0	60559	3	15586	1106	88980	158289	5462	2686	42776	10084	1528	618	95	36273	1667	0	0	0	1306	1096	8621	5046	31869	0	0	27261	9711	2152	6447	14176	0	11876	8049	5037	10759	8469	11444	2474	10904	5909	10230	5488	465	4033	6454	3096	43391	3343	58542	8772	24485	0	6208	0	13626	2403	9967	122	26119	15711	1477	38297	1060	12373	0	19118	26546	58516	19671	19399	10933	26533	1465	3103	1124	380	34804	4727	55168	72865	2745	272	94851	54451	14010	2529	15064	708	95638	6810	16237	202	3360	0	46473	0	72	0	51897	0	14487	493	72232	116307	7015	3840	48592	11659	0	5533	164	41660	4981	0	0	2255	585	8337	10764	20812	0	0	17674	7276	93	2725	875	944	3510	1698	1969	9362	3534	12644	1719	2657	3911	8804	2188	3	2790	6457	1797	29837	1217	7870	3741	7687	14	2546	0	9624	2354	2363	37	10418	12529	110	29218	594	7245	0	18369	45295	56490	18558	20730	21443	28089	1239	2088	2284	589	43485	12701	86626	148599	4106	466	483199	60931	8989	4821	61684	3494	277740	11544	19817	366	1637	1	126433	0	84	1	139695	1	19430	3109	117904	479400	5746	8847	144027	25434	1664	3978	132	41520	5153	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Argentiniformes;Bathylagidae;Lipolagus;Lipolagus ochotensis	2490	326	131	236	1100	0	0	8995	8489	0	760	7754	2462	4030	3074	1135	10862	3680	699	9255	28938	107	2990	63562	5997	12279	44	4197	27580	0	31614	24877	661	157	5322	0	1150	131	1356	0	81229	65855	551	7233	475	740	0	1449	60	2255	0	0	0	4901	43310	73625	49403	5909	1373	1661	1589	2384	12565	23	5873	1	28335	3235	374	350	3	16089	290	796	11605	1615	8245	19732	350	7585	193	13	4306	1888	0	1482	2636	2560	223	68942	1329	1600	0	688	929	0	0	0	5605	1265	709	233	1618	0	0	26460	10523	0	1511	9274	13694	5460	8164	2726	9092	6034	377	5630	63693	482	3166	61106	16899	16008	12	3619	25658	0	38210	30156	2613	242	8287	0	1432	74	2002	35	93111	64561	515	9134	391	1396	0	2656	1	4452	0	0	2	11695	77977	117156	60450	8335	2935	3219	4715	5927	61773	0	6552	77	49131	3074	514	312	1388	12631	147	1271	7948	3705	5066	16887	229	5683	88	373	3789	895	113	1060	3778	1202	122	67100	1936	10526	0	827	2819	0	0	5068	286	326	1235	766	0	0	16002	6566	0	761	2822	5128	1686	1693	1096	8259	2551	423	3948	15636	390	2412	24747	9034	11163	32	1848	16777	1	5440	12955	890	142	3096	0	1116	44	716	0	38686	49602	68	6876	266	1502	0	1936	333	5166	0	0	2	15943	38700	65289	109291	7848	4653	17220	6772	13622	87417	230	39168	344	29982	6638	1644	860	1	13181	158	1779	13759	2883	14421	18558	182	19792	75	7	4525	4786	288	3990	3808	6678	532	174519	14059	8657	0	789	2734	0	0	0	0	0	0	0	0
