Location,ext_rep,tech_rep,Sample
1996_4_80_60,1,1,1996_4_80_60_1_1
1996_4_80_60,1,2,1996_4_80_60_1_2
1996_4_80_60,1,3,1996_4_80_60_1_3
1996_4_86.7_50,1,1,1996_4_86.7_50_1_1
1996_4_86.7_50,1,2,1996_4_86.7_50_1_2
1996_4_86.7_50,1,3,1996_4_86.7_50_1_3
1996_4_93.3_30,1,1,1996_4_93.3_30_1_1
1996_4_93.3_30,1,2,1996_4_93.3_30_1_2
1996_4_93.3_30,1,3,1996_4_93.3_30_1_3
1996_4_93.3_60,1,1,1996_4_93.3_60_1_1
1996_4_93.3_60,1,2,1996_4_93.3_60_1_2
1996_4_93.3_60,1,3,1996_4_93.3_60_1_3
1998_4_80_60,1,1,1998_4_80_60_1_1
1998_4_80_60,1,2,1998_4_80_60_1_2
1998_4_80_60,1,3,1998_4_80_60_1_3
1998_4_86.7_50,1,1,1998_4_86.7_50_1_1
1998_4_86.7_50,1,2,1998_4_86.7_50_1_2
1998_4_86.7_50,1,3,1998_4_86.7_50_1_3
1998_4_93.3_30,1,1,1998_4_93.3_30_1_1
1998_4_93.3_30,1,2,1998_4_93.3_30_1_2
1998_4_93.3_30,1,3,1998_4_93.3_30_1_3
1998_4_93.3_60,1,1,1998_4_93.3_60_1_1
1998_4_93.3_60,1,2,1998_4_93.3_60_1_2
1998_4_93.3_60,1,3,1998_4_93.3_60_1_3
1999_4_80_60,1,1,1999_4_80_60_1_1
1999_4_80_60,1,2,1999_4_80_60_1_2
1999_4_80_60,1,3,1999_4_80_60_1_3
1999_4_86.7_50,1,1,1999_4_86.7_50_1_1
1999_4_86.7_50,1,2,1999_4_86.7_50_1_2
1999_4_86.7_50,1,3,1999_4_86.7_50_1_3
1999_4_93.3_30,1,1,1999_4_93.3_30_1_1
1999_4_93.3_30,1,2,1999_4_93.3_30_1_2
1999_4_93.3_30,1,3,1999_4_93.3_30_1_3
1999_4_93.3_60,1,1,1999_4_93.3_60_1_1
1999_4_93.3_60,1,2,1999_4_93.3_60_1_2
1999_4_93.3_60,1,3,1999_4_93.3_60_1_3
2000_4_80_60,1,1,2000_4_80_60_1_1
2000_4_80_60,1,2,2000_4_80_60_1_2
2000_4_80_60,1,3,2000_4_80_60_1_3
2000_4_86.7_50,1,1,2000_4_86.7_50_1_1
2000_4_86.7_50,1,2,2000_4_86.7_50_1_2
2000_4_86.7_50,1,3,2000_4_86.7_50_1_3
2000_4_93.3_30,1,1,2000_4_93.3_30_1_1
2000_4_93.3_30,1,2,2000_4_93.3_30_1_2
2000_4_93.3_30,1,3,2000_4_93.3_30_1_3
2000_4_93.3_60,1,1,2000_4_93.3_60_1_1
2000_4_93.3_60,1,2,2000_4_93.3_60_1_2
2000_4_93.3_60,1,3,2000_4_93.3_60_1_3
2001_4_80_60,1,1,2001_4_80_60_1_1
2001_4_80_60,1,2,2001_4_80_60_1_2
2001_4_80_60,1,3,2001_4_80_60_1_3
2001_4_86.7_50,1,1,2001_4_86.7_50_1_1
2001_4_86.7_50,1,2,2001_4_86.7_50_1_2
2001_4_86.7_50,1,3,2001_4_86.7_50_1_3
2001_4_93.3_30,1,1,2001_4_93.3_30_1_1
2001_4_93.3_30,1,2,2001_4_93.3_30_1_2
2001_4_93.3_30,1,3,2001_4_93.3_30_1_3
2001_4_93.3_60,1,1,2001_4_93.3_60_1_1
2001_4_93.3_60,1,2,2001_4_93.3_60_1_2
