Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,ext_rep,tech_rep,Volume,,sample,Cruise_ID,Date,Lat_Dec,Lon_Dec,Volume_mL,Location,ext_rep,tech_rep
Miu.1.a.01.S1,MiFish,MiFish_1996_4_80_60_1_1,1996_4_80_60,1996,1,1,Sample,NA,1996-04-28,34.151666,-121.148333,34.151666 N 121.148333 W,1,1,125,,2000_4_80_60,2000-04-07-C-31JD,2000-04-19,34.148333,-121.156666,125,1996_4_80_60,1,1
Miu.1.a.02.S2,MiFish,MiFish_1996_4_86.7_50_1_1,1996_4_86.7_50,1996,1,1,Sample,NA,1996-04-23,33.325,-119.661666,33.325 N 119.661666 W,1,1,125,,2000_4_86.7_50,2000-04-07-C-31JD,2000-04-15,33.323333,-119.666666,125,1996_4_80_60,1,2
Miu.1.a.03.S3,MiFish,MiFish_1996_4_93.3_30_1_1,1996_4_93.3_30,1996,1,1,Sample,NA,1996-04-16,32.848333,-117.526666,32.848333 N 117.526666 W,1,1,125,,2000_4_93.3_30,2000-04-07-C-31JD,2000-04-08,32.846666,-117.538333,125,1996_4_80_60,1,3
Miu.1.a.04.S4,MiFish,MiFish_1996_4_93.3_60_1_1,1996_4_93.3_60,1996,1,1,Sample,NA,1996-04-17,31.848333,-119.571666,31.848333 N 119.571666 W,1,1,125,,2000_4_93.3_60,2000-04-07-C-31JD,2000-04-09,31.85,-119.568333,125,1996_4_86.7_50,1,1
Miu.1.a.05.S5,MiFish,MiFish_1998_4_80_60_1_1,1998_4_80_60,1998,1,1,Sample,NA,1998-04-15,34.151666,-121.145,34.151666 N 121.145 W,1,1,125,,2001_4_80_60,2001-04-05-C-31JD,2001-04-20,34.145,-121.161666,75,1996_4_86.7_50,1,2
Miu.1.a.06.S6,MiFish,MiFish_1998_4_86.7_50_1_1,1998_4_86.7_50,1998,1,1,Sample,NA,1998-04-10,33.323333,-119.663333,33.323333 N 119.663333 W,1,1,125,,2001_4_86.7_50,2001-04-05-C-31JD,2001-04-14,33.32,-119.66,125,1996_4_86.7_50,1,3
Miu.1.a.07.S7,MiFish,MiFish_1998_4_93.3_30_1_1,1998_4_93.3_30,1998,1,1,Sample,NA,1998-04-03,32.848333,-117.528333,32.848333 N 117.528333 W,1,1,125,,2001_4_93.3_30,2001-04-05-C-31JD,2001-04-07,32.845,-117.531666,125,1996_4_93.3_30,1,1
Miu.1.a.08.S8,MiFish,MiFish_1998_4_93.3_60_1_1,1998_4_93.3_60,1998,1,1,Sample,NA,1998-04-04,31.846666,-119.571666,31.846666 N 119.571666 W,1,1,125,,2001_4_93.3_60,2001-04-05-C-31JD,2001-04-08,31.855,-119.568333,125,1996_4_93.3_30,1,2
Miu.1.a.09.S9,MiFish,MiFish_1999_4_80_60_1_1,1999_4_80_60,1999,1,1,Sample,NA,1999-04-13,34.153333,-121.146666,34.153333 N 121.146666 W,1,1,125,,2002_4_80_60,2002-03-28-C-31JD,2002-04-09,34.146666,-121.155,75,1996_4_93.3_30,1,3
Miu.1.a.10.S10,MiFish,MiFish_1999_4_86.7_50_1_1,1999_4_86.7_50,1999,1,1,Sample,NA,1999-04-08,33.325,-119.663333,33.325 N 119.663333 W,1,1,125,,2002_4_86.7_50,2002-03-28-C-31JD,2002-04-04,33.323333,-119.656666,125,1996_4_93.3_60,1,1
Miu.1.a.11.S11,MiFish,MiFish_1999_4_93.3_30_1_1,1999_4_93.3_30,1999,1,1,Sample,NA,1999-04-02,32.845,-117.53,32.845 N 117.53 W,1,1,125,,2002_3_93.3_30,2002-03-28-C-31JD,2002-03-29,32.848333,-117.531666,125,1996_4_93.3_60,1,2
