Species
Arctozenus risso
Argyropelecus sladeni
Artedius corallinus
Bathylagidae
Bathylagoides wesethi
Bathylagus pacificus
Benthalbella dentata
Brosmophycis marginata
Cataetyx rubrirostris
Ceratoscopelus townsendi
Chauliodus macouni
Citharichthys sordidus
Citharichthys stigmaeus
Cololabis saira
Cyclothone atraria
Danaphos oculatus
Diaphus theta
Diogenichthys atlanticus
Engraulis mordax
Genyonemus lineatus
Halichoeres californica
Ichthyococcus irregularis
Icichthys lockingtoni
Lepidopsetta bilineata
Leuroglossus stilbius
Lipolagus ochotensis
Lyopsetta exilis
Melamphaes lugubris
Melamphaes parvus
Merluccius productus
Microstomus pacificus
Nannobrachium sp.
Nannobrachium regale
Nannobrachium ritteri
Nansenia candida
Opisthoproctidae
Paralepididae
Paralichthys californicus
Parophrys vetulus
Peprilus simillimus
Poromitra crassiceps
Protomyctophum crockeri
Rathbunella hypoplecta
Rhinogobiops nicholsii
Ruscarius creaseri
Sardinops sagax
Scomber japonicus
Sebastes
Sebastolobus sp.
Stenobrachius sp.
Stenobrachius leucopsarus V1
Stenobrachius leucopsarus V2
Stomias atriventer
Symbolophorus californiensis
Tarletonbeania crenularis
Tetragonurus cuvieri
Trachurus symmetricus
Triphoturus mexicanus
Vinciguerria sp.
