Amount of sample to add to pool (uL),Percent of PCR added,New_name
5,0.2,1996_4_80_60_1_1
5,0.2,1996_4_86.7_50_1_1
5,0.2,1996_4_93.3_30_1_1
5,0.2,1996_4_93.3_60_1_1
5,0.2,1998_4_80_60_1_1
5,0.2,1998_4_86.7_50_1_1
5,0.2,1998_4_93.3_30_1_1
5,0.2,1998_4_93.3_60_1_1
5,0.2,1999_4_80_60_1_1
5,0.2,1999_4_86.7_50_1_1
5,0.2,1999_4_93.3_30_1_1
5,0.2,1999_4_93.3_60_1_1
5,0.2,2000_4_80_60_1_1
5,0.2,2000_4_86.7_50_1_1
5,0.2,2000_4_93.3_30_1_1
5,0.2,2000_4_93.3_60_1_1
5,0.2,2001_4_80_60_1_1
5,0.2,2001_4_86.7_50_1_1
5,0.2,2001_4_93.3_30_1_1
5,0.2,2001_4_93.3_60_1_1
5,0.2,2002_4_80_60_1_1
5,0.2,2002_4_86.7_50_1_1
5,0.2,2002_3_93.3_30_1_1
5,0.2,2002_3_93.3_60_1_1
5,0.2,2003_4_80_60_1_1
5,0.2,2003_4_86.7_50_1_1
5,0.2,2003_4_93.3_30_1_1
5,0.2,2003_4_93.3_60_1_1
5,0.2,2004_4_80_60_1_1
5,0.2,2004_3_86.7_50_1_1
5,0.2,2004_3_93.3_30_1_1
5,0.2,2004_3_93.3_60_1_1
5,0.2,2005_4_80_60_1_1
5,0.2,2005_4_86.7_50_1_1
5,0.2,2005_4_93.3_30_1_1
5,0.2,2005_4_93.3_60_1_1
5,0.2,2006_4_80_60_1_1
5,0.2,2006_4_86.7_50_1_1
5,0.2,2006_4_93.3_30_1_1
5,0.2,2006_4_93.3_60_1_1
5,0.2,2007_4_80_60_1_1
5,0.2,2007_4_80_60_2_1
5,0.2,2007_4_86.7_50_1_1
5,0.2,2007_3_93.3_30_1_1
5,0.2,2007_3_93.3_60_1_1
5,0.2,2008_4_86.7_50_1_1
5,0.2,Alligator_1_1
5,0.2,PCR_negative_1_1
5,0.2,2008_3_93.3_30_1_1
5,0.2,2008_3_93.3_60_1_1
5,0.2,2009_3_80_60_1_1
5,0.2,2009_3_86.7_50_1_1
5,0.2,2009_3_86.7_50_2_1
5,0.2,2009_3_86.7_50_3_1
5,0.2,2009_3_93.3_30_1_1
5,0.2,2009_3_93.3_60_1_1
5,0.2,2010_5_80_60_1_1
5,0.2,2010_4_93.3_30_1_1
5,0.2,2010_4_93.3_60_1_1
5,0.2,2011_4_80_60_1_1
5,0.2,2011_4_86.7_50_1_1
5,0.2,2011_4_93.3_30_1_1
5,0.2,2011_4_93.3_60_1_1
5,0.2,2012_4_80_60_1_1
5,0.2,2012_3_86.7_50_1_1
5,0.2,2012_3_93.3_30_1_1
5,0.2,2012_3_93.3_60_1_1
5,0.2,2013_4_80_60_1_1
5,0.2,2013_4_86.7_50_1_1
5,0.2,2013_4_93.3_30_1_1
5,0.2,2013_4_93.3_60_1_1
5,0.2,2014_4_80_60_1_1
5,0.2,2014_4_80_60_2_1
5,0.2,2014_4_93.3_30_1_1
5,0.2,2014_4_93.3_60_1_1
5,0.2,2015_4_80_60_1_1
5,0.2,2015_4_86.7_50_1_1
5,0.2,2015_4_93.3_30_1_1
5,0.2,2015_4_93.3_60_1_1
5,0.2,2016_4_86.7_50_1_1
5,0.2,2016_4_86.7_50_2_1
5,0.2,2016_4_93.3_30_1_1
5,0.2,2016_4_93.3_60_1_1
5,0.2,2017_4_80_60_1_1
5,0.2,2017_4_86.7_50_1_1
5,0.2,2017_3_93.3_60_1_1
5,0.2,2018_4_80_60_1_1
5,0.2,2018_4_86.7_50_1_1
5,0.2,2018_4_86.7_50_2_1
5,0.2,2018_4_93.3_30_1_1
5,0.2,2018_4_93.3_60_1_1
5,0.2,2019_4_80_60_1_1
5,0.2,2019_4_80_60_2_1
5,0.2,2019_4_86.7_50_1_1
5,0.2,2019_4_93.3_30_1_1
5,0.2,2019_4_93.3_60_1_1
5,0.2,Blank_1__1_1
5,0.2,Exp_2__1_1
5,0.2,Camel_1_1
5,0.2,PCR_Negative_1_1
5,0.2,1996_4_80_60_1_2
5,0.2,1996_4_86.7_50_1_2
5,0.2,1996_4_93.3_30_1_2
5,0.2,1996_4_93.3_60_1_2
5,0.2,1998_4_80_60_1_2
5,0.2,1998_4_86.7_50_1_2
5,0.2,1998_4_93.3_30_1_2
5,0.2,1998_4_93.3_60_1_2
5,0.2,1999_4_80_60_1_2
5,0.2,1999_4_86.7_50_1_2
5,0.2,1999_4_93.3_30_1_2
5,0.2,1999_4_93.3_60_1_2
5,0.2,2000_4_80_60_1_2
5,0.2,2000_4_86.7_50_1_2
5,0.2,2000_4_93.3_30_1_2
5,0.2,2000_4_93.3_60_1_2
5,0.2,2001_4_80_60_1_2
5,0.2,2001_4_86.7_50_1_2
5,0.2,2001_4_93.3_30_1_2
5,0.2,2001_4_93.3_60_1_2
5,0.2,2002_4_80_60_1_2
5,0.2,2002_4_86.7_50_1_2
5,0.2,2002_3_93.3_30_1_2
5,0.2,2002_3_93.3_60_1_2
5,0.2,2003_4_80_60_1_2
5,0.2,2003_4_86.7_50_1_2
5,0.2,2003_4_93.3_30_1_2
5,0.2,2003_4_93.3_60_1_2
5,0.2,2004_4_80_60_1_2
5,0.2,2004_3_86.7_50_1_2
5,0.2,2004_3_93.3_30_1_2
5,0.2,2004_3_93.3_60_1_2
5,0.2,2005_4_80_60_1_2
5,0.2,2005_4_86.7_50_1_2
5,0.2,2005_4_93.3_30_1_2
5,0.2,2005_4_93.3_60_1_2
5,0.2,2006_4_80_60_1_2
5,0.2,2006_4_86.7_50_1_2
5,0.2,2006_4_93.3_30_1_2
5,0.2,2006_4_93.3_60_1_2
5,0.2,2007_4_80_60_1_2
5,0.2,2007_4_80_60_2_2
5,0.2,2007_4_86.7_50_1_2
5,0.2,2007_3_93.3_30_1_2
5,0.2,2007_3_93.3_60_1_2
5,0.2,2008_4_86.7_50_1_2
5,0.2,Alligator_1_2
5,0.2,PCR_negative_1_2
5,0.2,2008_3_93.3_30_1_2
5,0.2,2008_3_93.3_60_1_2
5,0.2,2009_3_80_60_1_2
5,0.2,2009_3_86.7_50_1_2
5,0.2,2009_3_86.7_50_2_2
5,0.2,2009_3_86.7_50_3_2
5,0.2,2009_3_93.3_30_1_2
5,0.2,2009_3_93.3_60_1_2
5,0.2,2010_5_80_60_1_2
5,0.2,2010_4_93.3_30_1_2
5,0.2,2010_4_93.3_60_1_2
