"","seq_number","sum.taxonomy"
"1","merged_CO1_1",""
"2","merged_CO1_11","Eukaryota;Cnidaria;Hydrozoa;Siphonophorae;Diphyidae;Muggiaea;Muggiaea atlantica"
"3","merged_CO1_189","Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Clytia;Clytia sp. 701AC"
"4","merged_CO1_198","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
"5","merged_CO1_231","Eukaryota;Chordata;Mammalia;Rodentia;Echimyidae;Phyllomys;Phyllomys dasythrix"
"6","merged_CO1_281","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"7","merged_CO1_487","Eukaryota;Rotifera;Monogononta;Ploima;Lecanidae;Lecane;Lecane closterocerca"
"8","merged_CO1_946",""
"9","merged_CO1_1085",""
"10","merged_CO1_1203","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"11","merged_CO1_1493","Eukaryota;Chordata;;;;;"
"12","merged_CO1_1619",""
"13","merged_CO1_2250","Eukaryota;NA;Heterolobosea;Schizopyrenida;Vahlkampfiidae;Naegleria;Naegleria gruberi"
"14","merged_CO1_2326","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"15","merged_CO1_2824","Eukaryota;Chordata;Mammalia;;;;"
"16","merged_CO1_3179","Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1"
"17","merged_CO1_4018","Eukaryota;Arthropoda;Insecta;Psocoptera;Liposcelidae;Liposcelis;Liposcelis corrodens"
"18","merged_CO1_5387",""
"19","merged_CO1_12323","Eukaryota;Chordata;Mammalia;Rodentia;;;"
"20","merged_CO1_12982","Eukaryota;Rotifera;Monogononta;Ploima;;;"
"21","merged_CO1_15537","Eukaryota;Chordata;Mammalia;Primates;Hominidae;Homo;Homo sapiens"
