"","seq_number","sum.taxonomy"
"1","merged_CO1_25","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"2","merged_CO1_39","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"3","merged_CO1_88","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"4","merged_CO1_426","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos indicus"
"5","merged_CO1_469","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;Bos taurus"
"6","merged_CO1_922","Eukaryota;Arthropoda;Insecta;Hemiptera;NA;NA;Hemiptera sp. BIOUG03768-E03"
"7","merged_CO1_1404","Eukaryota;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo"
"8","merged_CO1_2381","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"9","merged_CO1_4072",""
"10","merged_CO1_4195","Eukaryota;Chordata;Mammalia;;Bovidae;Bos;"
"11","merged_CO1_4822",""
"12","merged_CO1_5195","Eukaryota;Chordata;Mammalia;;Camelidae;Camelus;Camelus dromedarius"
"13","merged_CO1_5635",""
"14","merged_CO1_6575","Eukaryota;Chordata;Mammalia;;Bovidae;Ovis;Ovis aries"
"15","merged_CO1_6757","Eukaryota;Chordata;Mammalia;Rodentia;Myocastoridae;Myocastor;Myocastor coypus"
"16","merged_CO1_7514","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"17","merged_CO1_7995","Eukaryota;Chordata;Mammalia;;Suidae;Sus;Sus scrofa"
"18","merged_CO1_10757",""
"19","merged_CO1_12409","Eukaryota;Chordata;;Crocodylia;Alligatoridae;Alligator;Alligator mississippiensis"
"20","merged_CO1_12624",""
"21","merged_CO1_14640",""
"22","merged_CO1_15538",""
