CO1_1996_4_80_60_1_1,CO1_1996_4_80_60_1_2,CO1_1996_4_80_60_1_3,CO1_1996_4_86.7_50_1_1,CO1_1996_4_86.7_50_1_2,CO1_1996_4_86.7_50_1_3,CO1_1996_4_93.3_30_1_1,CO1_1996_4_93.3_30_1_2,CO1_1996_4_93.3_30_1_3,CO1_1996_4_93.3_60_1_1,CO1_1996_4_93.3_60_1_2,CO1_1996_4_93.3_60_1_3,CO1_1998_4_80_60_1_2,CO1_1998_4_80_60_1_3,CO1_1998_4_86.7_50_1_1,CO1_1998_4_86.7_50_1_2,CO1_1998_4_93.3_30_1_1,CO1_1998_4_93.3_30_1_2,CO1_1998_4_93.3_60_1_1,CO1_1998_4_93.3_60_1_2,CO1_1999_4_80_60_1_1,CO1_1999_4_80_60_1_3,CO1_1999_4_86.7_50_1_1,CO1_1999_4_86.7_50_1_2,CO1_1999_4_86.7_50_1_3,CO1_1999_4_93.3_30_1_2,CO1_1999_4_93.3_30_1_3,CO1_1999_4_93.3_60_1_1,CO1_1999_4_93.3_60_1_2,CO1_1999_4_93.3_60_1_3,CO1_2000_4_80_60_1_2,CO1_2000_4_80_60_1_3,CO1_2000_4_86.7_50_1_2,CO1_2000_4_86.7_50_1_3,CO1_2000_4_93.3_30_1_1,CO1_2000_4_93.3_30_1_2,CO1_2000_4_93.3_30_1_3,CO1_2001_4_80_60_1_1,CO1_2001_4_80_60_1_3,CO1_2001_4_86.7_50_1_1,CO1_2001_4_86.7_50_1_2,CO1_2001_4_86.7_50_1_3,CO1_2001_4_93.3_30_1_2,CO1_2001_4_93.3_30_1_3,CO1_2001_4_93.3_60_1_1,CO1_2001_4_93.3_60_1_3,CO1_2002_3_93.3_30_1_1,CO1_2002_3_93.3_30_1_2,CO1_2002_3_93.3_30_1_3,CO1_2002_3_93.3_60_1_1,CO1_2002_3_93.3_60_1_2,CO1_2002_4_80_60_1_3,CO1_2002_4_86.7_50_1_1,CO1_2002_4_86.7_50_1_3,CO1_2003_4_80_60_1_1,CO1_2003_4_80_60_1_3,CO1_2003_4_86.7_50_1_1,CO1_2003_4_86.7_50_1_2,CO1_2003_4_93.3_30_1_1,CO1_2003_4_93.3_30_1_3,CO1_2003_4_93.3_60_1_2,CO1_2003_4_93.3_60_1_3,CO1_2004_3_86.7_50_1_1,CO1_2004_3_86.7_50_1_2,CO1_2004_3_93.3_30_1_1,CO1_2004_3_93.3_60_1_1,CO1_2004_3_93.3_60_1_2,CO1_2004_3_93.3_60_1_3,CO1_2004_4_80_60_1_2,CO1_2004_4_80_60_1_3,CO1_2005_4_80_60_1_2,CO1_2005_4_80_60_1_3,CO1_2005_4_86.7_50_1_1,CO1_2005_4_86.7_50_1_3,CO1_2005_4_93.3_30_1_3,CO1_2005_4_93.3_60_1_3,CO1_2006_4_80_60_1_1,CO1_2006_4_80_60_1_2,CO1_2006_4_80_60_1_3,CO1_2006_4_86.7_50_1_2,CO1_2006_4_86.7_50_1_3,CO1_2006_4_93.3_30_1_3,CO1_2006_4_93.3_60_1_1,CO1_2006_4_93.3_60_1_2,CO1_2006_4_93.3_60_1_3,CO1_2007_3_93.3_30_1_1,CO1_2007_3_93.3_30_1_3,CO1_2007_3_93.3_60_1_1,CO1_2007_3_93.3_60_1_3,CO1_2007_4_80_60_1_1,CO1_2007_4_80_60_1_3,CO1_2007_4_80_60_2_3,CO1_2007_4_86.7_50_1_2,CO1_2008_3_93.3_30_1_2,CO1_2008_3_93.3_30_1_3,CO1_2008_3_93.3_60_1_3,CO1_2008_4_86.7_50_1_2,CO1_2009_3_80_60_1_1,CO1_2009_3_80_60_1_3,CO1_2009_3_86.7_50_1_1,CO1_2009_3_86.7_50_1_2,CO1_2009_3_86.7_50_2_1,CO1_2009_3_86.7_50_2_2,CO1_2009_3_86.7_50_2_3,CO1_2009_3_86.7_50_3_1,CO1_2009_3_86.7_50_3_2,CO1_2009_3_86.7_50_3_3,CO1_2009_3_93.3_30_1_2,CO1_2009_3_93.3_30_1_3,CO1_2009_3_93.3_60_1_1,CO1_2009_3_93.3_60_1_3,CO1_2010_4_93.3_30_1_2,CO1_2010_4_93.3_30_1_3,CO1_2010_4_93.3_60_1_2,CO1_2010_4_93.3_60_1_3,CO1_2010_5_80_60_1_2,CO1_2010_5_80_60_1_3,CO1_2011_4_80_60_1_1,CO1_2011_4_86.7_50_1_1,CO1_2011_4_86.7_50_1_2,CO1_2011_4_86.7_50_1_3,CO1_2011_4_93.3_30_1_1,CO1_2011_4_93.3_30_1_3,CO1_2011_4_93.3_60_1_1,CO1_2011_4_93.3_60_1_2,CO1_2012_3_86.7_50_1_1,CO1_2012_3_86.7_50_1_2,CO1_2012_3_86.7_50_1_3,CO1_2012_3_93.3_60_1_1,CO1_2012_3_93.3_60_1_3,CO1_2012_4_80_60_1_1,CO1_2012_4_80_60_1_3,CO1_2013_4_80_60_1_1,CO1_2013_4_80_60_1_3,CO1_2013_4_86.7_50_1_1,CO1_2013_4_86.7_50_1_2,CO1_2013_4_86.7_50_1_3,CO1_2013_4_93.3_30_1_1,CO1_2013_4_93.3_30_1_2,CO1_2013_4_93.3_30_1_3,CO1_2013_4_93.3_60_1_1,CO1_2013_4_93.3_60_1_2,CO1_2013_4_93.3_60_1_3,CO1_2014_4_80_60_1_1,CO1_2014_4_80_60_1_2,CO1_2014_4_80_60_1_3,CO1_2014_4_80_60_2_1,CO1_2014_4_80_60_2_2,CO1_2014_4_80_60_2_3,CO1_2014_4_93.3_30_1_1,CO1_2014_4_93.3_30_1_2,CO1_2014_4_93.3_30_1_3,CO1_2014_4_93.3_60_1_1,CO1_2014_4_93.3_60_1_2,CO1_2014_4_93.3_60_1_3,CO1_2015_4_80_60_1_3,CO1_2015_4_86.7_50_1_1,CO1_2015_4_86.7_50_1_2,CO1_2015_4_86.7_50_1_3,CO1_2015_4_93.3_30_1_1,CO1_2015_4_93.3_30_1_2,CO1_2015_4_93.3_30_1_3,CO1_2015_4_93.3_60_1_1,CO1_2015_4_93.3_60_1_2,CO1_2015_4_93.3_60_1_3,CO1_2016_4_86.7_50_1_1,CO1_2016_4_86.7_50_1_3,CO1_2016_4_86.7_50_2_1,CO1_2016_4_86.7_50_2_2,CO1_2016_4_86.7_50_2_3,CO1_2016_4_93.3_30_1_1,CO1_2016_4_93.3_30_1_2,CO1_2016_4_93.3_60_1_1,CO1_2016_4_93.3_60_1_2,CO1_2016_4_93.3_60_1_3,CO1_2017_3_93.3_60_1_1,CO1_2017_3_93.3_60_1_2,CO1_2017_3_93.3_60_1_3,CO1_2017_4_80_60_1_1,CO1_2017_4_80_60_1_2,CO1_2017_4_80_60_1_3,CO1_2017_4_86.7_50_1_1,CO1_2017_4_86.7_50_1_2,CO1_2017_4_86.7_50_1_3,CO1_2018_4_80_60_1_1,CO1_2018_4_80_60_1_2,CO1_2018_4_80_60_1_3,CO1_2018_4_86.7_50_1_1,CO1_2018_4_86.7_50_1_2,CO1_2018_4_86.7_50_1_3,CO1_2018_4_86.7_50_2_1,CO1_2018_4_86.7_50_2_2,CO1_2018_4_86.7_50_2_3,CO1_2018_4_93.3_30_1_1,CO1_2018_4_93.3_30_1_2,CO1_2018_4_93.3_30_1_3,CO1_2018_4_93.3_60_1_1,CO1_2018_4_93.3_60_1_2,CO1_2018_4_93.3_60_1_3,CO1_2019_4_80_60_1_2,CO1_2019_4_80_60_1_3,CO1_2019_4_80_60_2_1,CO1_2019_4_80_60_2_2,CO1_2019_4_80_60_2_3,CO1_2019_4_86.7_50_1_1,CO1_2019_4_86.7_50_1_2,CO1_2019_4_93.3_30_1_1,CO1_2019_4_93.3_30_1_2,CO1_2019_4_93.3_30_1_3,CO1_2019_4_93.3_60_1_1,CO1_2019_4_93.3_60_1_2,sum.taxonomy
3808,12562,17043,4239,4237,4061,6788,6786,5097,3042,4022,5119,10224,4389,0,218,40,186,3290,5318,6074,4630,5362,4237,6076,2766,4034,7672,8043,8776,7769,4844,11782,4709,7646,7892,3217,3784,4612,7436,5180,6873,2624,2161,3810,5014,5804,5429,2955,2291,3363,3559,7182,4762,9188,6913,3971,4191,5439,5273,3700,4618,5477,9250,5768,4225,8150,3571,10391,5561,6285,11613,4384,5466,6787,1440,2043,4826,1971,14858,5548,2920,3586,6630,2336,3648,7204,5049,3632,5956,4341,2862,4491,99474,161369,8347,3910,8206,4762,6004,5383,14692,68932,32373,5394,15280,6734,16817,9524,3939,7093,2445,2608,4600,4538,87289,126602,3424,4696,33190,16719,5519,1462,2563,13032,9859,53493,71094,6641,5958,8043,5102,2952,5905,6564,66490,49698,4168,11329,6900,7872,12592,7741,6547,9902,3420,9210,99151,106403,3574,3489,5423,3630,2310,3368,7964,21261,86580,49348,5274,16096,6340,6387,3543,2042,7606,5982,13861,49690,60033,3202,6098,4081,2881,3056,6124,25827,9358,7750,5814,5158,6281,89073,52685,3672,22061,11038,8015,11995,6640,34895,15701,22083,8092,5348,6106,7197,4293,7918,8823,15041,31768,14317,64617,7108,4921,4973,2588,2013,3068,2776,
3,40,78,51,25,47,75,114,97,140,137,214,0,4,0,0,0,0,222,0,0,3,3043,2352,2910,5959,9283,350,598,582,355,122,3422,1210,2105,1852,784,18,13,137,67,104,243,290,0,0,2996,2815,1656,30,0,28,160,124,15,19,2583,2231,1644,1651,92,115,65,60,0,464,898,311,179,51,6,12,1999,2457,1275,118,57,140,37,923,167,1834,269,463,70,54,131,626,329,0,0,0,149,486,863,637,26,160,62,140,0,147,1226,380,85,188,44,225,84,23,0,1110,1162,0,0,17,31,0,0,6,0,0,16,1032,0,20,86,156,8,0,0,0,46,80,44,436,138,3080,8739,4307,147,144,70,38,59,14,146,1271,1600,589,482,960,521,276,506,13,2612,9530,5046,2953,9538,3463,55,17,0,114,24,143,388,448,0,0,28,18,13,8,50,8,3849,2542,2721,882,10300,5487,0,0,0,24,15,16,422,9,28,1176,914,957,0,0,0,0,0,0,0,0,32,18,527,313,137,0,0,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Obelia;
238,938,1270,0,0,0,138,158,53,36,62,143,76,11,0,0,0,0,15,0,135,118,0,0,0,76,364,56,145,50,0,0,0,0,17,30,0,0,8,0,0,0,25,0,36,41,13,0,3,13,13,8,3,0,0,28,0,6,0,0,11,0,6,9,43,70,99,23,6,20,0,0,0,9,0,0,22,58,0,0,0,17,38,65,0,0,0,5,0,0,29,0,0,11,12,0,0,0,0,0,0,0,11,9,35,0,0,81,23,0,0,0,0,29,0,49,68,0,0,0,0,16,31,0,0,0,0,0,114,229,0,0,0,0,0,79,0,0,92,23,23,11,10,0,0,0,0,0,0,0,0,0,218,188,283,0,0,40,0,25,39,12,125,119,36,0,0,0,0,0,128,91,352,175,108,0,21,8,7,0,0,0,0,0,0,17,0,0,0,0,4,0,0,55,37,40,230,69,184,4,3,9,0,14,0,0,0,7,0,40,54,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Aetideidae;Undeuchaeta;Undeuchaeta major
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Calanoida;Heterorhabdidae;Heterorhabdus;Heterorhabdus norvegicus
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Eukaryota;;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Eukaryota;Echinodermata;Ophiuroidea;Ophiurida;Amphiuridae;Amphiura;Amphiura magellanica
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,Eukaryota;Porifera;Homoscleromorpha;Homosclerophorida;Plakinidae;;
0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Thalassiosirales;Stephanodiscaceae;Cyclostephanos;Cyclostephanos tholiformis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,Eukaryota;;Dinophyceae;;;;
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Annelida;Polychaeta;Phyllodocida;Phyllodocidae;Eumida;Eumida elektra
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Malacostraca;Decapoda;Galatheidae;NA;Galatheidae sp. KSA_1168
