Seq_number,Sample Name,Jar,Sample Number,Sample Name,Jar,,Jar_improved,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type,Date,Lat,Lon,Lat Lon,Volume
CO1_ETOHJAR.0001.S61.L002,Tech_rep_1_9604_80_60,9604_80_60,1,Tech_rep_1_9604_80_60,9604_80_60,,1996_4_80_60,CO1,CO1_1996_4_80_60_1_1,1996_4_80_60,1996,1,1,Sample,NA,4/28/96,34.151666,-121.148333,34.151666 N 121.148333 W,125
CO1_ETOHJAR.0002.S62.L002,Tech_rep_1_9604_86.7_50,9604_86.7_50,2,Tech_rep_1_9604_86.7_50,9604_86.7_50,,1996_4_86.7_50,CO2,CO1_1996_4_86.7_50_1_1,1996_4_86.7_50,1996,1,1,Sample,NA,4/23/96,33.325,-119.661666,33.325 N 119.661666 W,125
CO1_ETOHJAR.0003.S63.L002,Tech_rep_1_9604_93.3_30,9604_93.3_30,3,Tech_rep_1_9604_93.3_30,9604_93.3_30,,1996_4_93.3_30,CO3,CO1_1996_4_93.3_30_1_1,1996_4_93.3_30,1996,1,1,Sample,NA,4/16/96,32.848333,-117.526666,32.848333 N 117.526666 W,125
CO1_ETOHJAR.0004.S64.L002,Tech_rep_1_9604_93.3_60,9604_93.3_60,4,Tech_rep_1_9604_93.3_60,9604_93.3_60,,1996_4_93.3_60,CO4,CO1_1996_4_93.3_60_1_1,1996_4_93.3_60,1996,1,1,Sample,NA,4/17/96,31.848333,-119.571666,31.848333 N 119.571666 W,125
CO1_ETOHJAR.0005.S65.L002,Tech_rep_1_9804_80_60,9804_80_60,5,Tech_rep_1_9804_80_60,9804_80_60,,1998_4_80_60,CO5,CO1_1998_4_80_60_1_1,1998_4_80_60,1998,1,1,Sample,NA,4/15/98,34.151666,-121.145,34.151666 N 121.145 W,125
CO1_ETOHJAR.0006.S66.L002,Tech_rep_1_9804_86.7_50,9804_86.7_50,6,Tech_rep_1_9804_86.7_50,9804_86.7_50,,1998_4_86.7_50,CO6,CO1_1998_4_86.7_50_1_1,1998_4_86.7_50,1998,1,1,Sample,NA,4/10/98,33.323333,-119.663333,33.323333 N 119.663333 W,125
CO1_ETOHJAR.0007.S67.L002,Tech_rep_1_9804_93.3_30,9804_93.3_30,7,Tech_rep_1_9804_93.3_30,9804_93.3_30,,1998_4_93.3_30,CO7,CO1_1998_4_93.3_30_1_1,1998_4_93.3_30,1998,1,1,Sample,NA,4/3/98,32.848333,-117.528333,32.848333 N 117.528333 W,125
CO1_ETOHJAR.0008.S68.L002,Tech_rep_1_9804_93.3_60,9804_93.3_60,8,Tech_rep_1_9804_93.3_60,9804_93.3_60,,1998_4_93.3_60,CO8,CO1_1998_4_93.3_60_1_1,1998_4_93.3_60,1998,1,1,Sample,NA,4/4/98,31.846666,-119.571666,31.846666 N 119.571666 W,125
CO1_ETOHJAR.0009.S69.L002,Tech_rep_1_9904_80_60,9904_80_60,9,Tech_rep_1_9904_80_60,9904_80_60,,1999_4_80_60,CO9,CO1_1999_4_80_60_1_1,1999_4_80_60,1999,1,1,Sample,NA,4/13/99,34.153333,-121.146666,34.153333 N 121.146666 W,125
CO1_ETOHJAR.0010.S70.L002,Tech_rep_1_9904_86.7_50,9904_86.7_50,10,Tech_rep_1_9904_86.7_50,9904_86.7_50,,1999_4_86.7_50,CO10,CO1_1999_4_86.7_50_1_1,1999_4_86.7_50,1999,1,1,Sample,NA,4/8/99,33.325,-119.663333,33.325 N 119.663333 W,125
CO1_ETOHJAR.0011.S71.L002,Tech_rep_1_9904_93.3_30,9904_93.3_30,11,Tech_rep_1_9904_93.3_30,9904_93.3_30,,1999_4_93.3_30,CO11,CO1_1999_4_93.3_30_1_1,1999_4_93.3_30,1999,1,1,Sample,NA,4/2/99,32.845,-117.53,32.845 N 117.53 W,125
CO1_ETOHJAR.0012.S72.L002,Tech_rep_1_9904_93.3_60,9904_93.3_60,12,Tech_rep_1_9904_93.3_60,9904_93.3_60,,1999_4_93.3_60,CO12,CO1_1999_4_93.3_60_1_1,1999_4_93.3_60,1999,1,1,Sample,NA,4/3/99,31.85,-119.568333,31.85 N 119.568333 W,125
