cruise,ship,ship_code,order_occupied,tow_type,tow_number,net_location,time,latitude,longitude,line,station,standard_haul_factor,volume_sampled,proportion_sorted,scientific_name,common_name,itis_tsn,calcofi_species_code,invert_count,inverts_10m2,inverts_100m3
,,,,,,,UTC,degrees_north,degrees_east,,,,meters^3,,,,,,,Invertebrates 10/M^2,Invertebrates 100/M^3
197804,DAVID STARR JORDAN,JD,120,CB,1,S,1978-04-24T14:05:00Z,29.845,-117.36667,106.7,50.0,5.59,375.0,1.0,Teuthida,,82367,9540,3,16.77,NaN
197805,DAVID STARR JORDAN,JD,86,CB,1,S,1978-05-31T00:05:00Z,32.0,-119.225,93.3,55.0,5.11,409.3,0.543,Teuthida,,82367,9540,1,9.410682,NaN
197805,DAVID STARR JORDAN,JD,89,CB,1,S,1978-05-31T13:50:00Z,31.175,-120.916664,93.3,80.0,5.15,414.8,1.0,Teuthida,,82367,9540,2,10.3,NaN
197808,DAVID STARR JORDAN,JD,13,CB,1,S,1978-08-03T07:40:00Z,31.5,-120.23333,93.3,70.0,5.37,394.8,1.0,Teuthida,,82367,9540,1,5.37,NaN
197808,DAVID STARR JORDAN,JD,29,CB,1,S,1978-08-07T15:45:00Z,30.416666,-124.0,90.0,120.0,5.33,398.6,1.0,Teuthida,,82367,9540,3,15.99,NaN
197808,DAVID STARR JORDAN,JD,34,CB,1,S,1978-08-08T22:10:00Z,32.075,-120.64166,90.0,70.0,5.67,387.3,1.0,Teuthida,,82367,9540,2,11.34,NaN
197808,DAVID STARR JORDAN,JD,55,CB,1,S,1978-08-12T17:45:00Z,33.166664,-120.0,86.7,55.0,5.65,372.2,0.419,Teuthida,,82367,9540,1,13.484487,NaN
197808,DAVID STARR JORDAN,JD,56,CB,1,S,1978-08-12T22:45:00Z,33.0,-120.35833,86.7,60.0,5.27,401.6,0.49,Teuthida,,82367,9540,2,21.510204,NaN
197808,DAVID STARR JORDAN,JD,112,CB,1,S,1978-08-25T21:55:00Z,37.616665,-123.61667,60.0,60.0,5.45,390.0,0.489,Teuthida,,82367,9540,4,44.580776,NaN
197808,VON HUMBOLDT,VA,14,CB,1,S,1978-08-04T09:00:00Z,29.916666,-121.833336,96.7,100.0,5.79,370.9,1.0,Teuthida,,82367,9540,1,5.79,NaN
198012,DAVID STARR JORDAN,JD,6,MT,1,,1980-11-27T05:50:00Z,33.158333,-120.00667,86.7,55.0,0.01,113.6,1.0,Teuthida,,82367,9540,2,NaN,1.7605634
198012,DAVID STARR JORDAN,JD,21,MT,1,,1980-11-30T03:10:00Z,32.913334,-117.39,93.3,28.0,0.02,85.5,1.0,Doryteuthis opalescens,Market squid,82371,9542,2,NaN,2.3391812
198012,DAVID STARR JORDAN,JD,22,MT,1,,1980-11-30T05:15:00Z,32.846664,-117.53167,93.3,30.0,0.01,105.3,1.0,Doryteuthis opalescens,Market squid,82371,9542,1,NaN,0.94966763
198012,DAVID STARR JORDAN,JD,26,MT,1,,1980-11-30T17:15:00Z,32.18,-118.89166,93.3,50.0,0.01,103.6,1.0,Teuthida,,82367,9540,1,NaN,0.96525097
198012,DAVID STARR JORDAN,JD,64,MT,1,,1980-12-07T09:05:00Z,30.458332,-116.16333,106.7,32.0,0.01,109.5,1.0,Doryteuthis opalescens,Market squid,82371,9542,1,NaN,0.913242
198012,NEW HORIZON,NH,6,MT,1,,1980-12-10T09:05:00Z,33.578335,-120.75667,83.3,60.0,0.02,87.7,1.0,Teuthida,,82367,9540,1,NaN,1.1402508
