"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg]",2422863322.32304,219450420.817897,0.0905748247521809
"1","1983","Stratum_1"," [kg]",5764063104.76818,494907268.919712,0.0858608346099321
"1","1984","Stratum_1"," [kg]",4252525888.48231,401400798.535599,0.0943911475348724
"1","1985","Stratum_1"," [kg]",4939026457.17233,565670458.973306,0.114530761047423
"1","1986","Stratum_1"," [kg]",4500205462.26536,418655619.896583,0.0930303345940644
"1","1987","Stratum_1"," [kg]",4570045865.45821,414339830.521031,0.0906642608672129
"1","1988","Stratum_1"," [kg]",6611503393.95227,673610414.583224,0.101884605428683
"1","1989","Stratum_1"," [kg]",5835181779.2354,496137653.675848,0.0850252267103937
"1","1990","Stratum_1"," [kg]",6371886848.84218,691990752.164845,0.108600602706965
"1","1991","Stratum_1"," [kg]",4525254050.282,403493264.136937,0.0891647760884922
"1","1992","Stratum_1"," [kg]",4421265676.50006,414506234.521536,0.0937528447396235
"1","1993","Stratum_1"," [kg]",5185480650.92435,439408527.31306,0.0847382445125376
"1","1994","Stratum_1"," [kg]",4601605733.07085,405384355.319728,0.0880962817840541
"1","1995","Stratum_1"," [kg]",4335519183.20579,442985442.37221,0.102175869521734
"1","1996","Stratum_1"," [kg]",2779130182.91569,225423716.629878,0.0811130468143014
"1","1997","Stratum_1"," [kg]",2982004651.90201,240898733.66784,0.0807841575680262
"1","1998","Stratum_1"," [kg]",2324047430.74698,195122578.284673,0.0839580878183531
"1","1999","Stratum_1"," [kg]",3336079991.97925,319330589.324106,0.0957203034974746
"1","2000","Stratum_1"," [kg]",4730865630.44107,417593575.009099,0.0882700139107872
"1","2001","Stratum_1"," [kg]",3963987924.15818,340617616.69108,0.0859280157275999
"1","2002","Stratum_1"," [kg]",4300225771.19547,328223224.045472,0.0763269747937503
"1","2003","Stratum_1"," [kg]",6582728528.09901,572279892.613421,0.0869365780725408
"1","2004","Stratum_1"," [kg]",3585741786.79504,294937488.252297,0.0822528519310682
"1","2005","Stratum_1"," [kg]",4559790293.58032,419521490.737753,0.0920045580447841
"1","2006","Stratum_1"," [kg]",2703458650.31367,235000124.6476,0.0869257329385577
"1","2007","Stratum_1"," [kg]",3948075518.57496,418256767.69472,0.105939404078493
"1","2008","Stratum_1"," [kg]",2716103196.01042,284507015.153412,0.10474823473987
"1","2009","Stratum_1"," [kg]",2082279163.15828,250671069.416685,0.120383027334568
"1","2010","Stratum_1"," [kg]",3251338533.76018,336211512.296115,0.103407107197566
"1","2011","Stratum_1"," [kg]",2865310196.4511,251646274.327444,0.0878251418080758
"1","2012","Stratum_1"," [kg]",3269939330.39493,272484618.559049,0.0833301755865113
"1","2013","Stratum_1"," [kg]",4259292355.85328,390012595.809994,0.0915674631430321
"1","2014","Stratum_1"," [kg]",7126665503.92725,549460318.369684,0.077099215343683
